Address,Command
"('127.0.0.1', 60814)",/off
"('127.0.0.1', 60816)",/off
"('127.0.0.1', 60818)",/off
"('127.0.0.1', 60820)",/off
"('127.0.0.1', 60822)",/off
"('127.0.0.1', 60844)",/on
"('127.0.0.1', 60846)",/off
"('127.0.0.1', 60848)",/off
"('127.0.0.1', 60858)",/on
"('127.0.0.1', 60860)",/on
"('127.0.0.1', 60862)",/off
"('127.0.0.1', 60866)",/on
"('127.0.0.1', 60870)",/off
"('127.0.0.1', 60872)",/on
"('127.0.0.1', 60874)",/off
"('127.0.0.1', 50058)",/on
"('127.0.0.1', 50060)",/off
"('127.0.0.1', 50062)",/on
